Area,Y2010,Y2011,Y2012,Y2013
Afghanistan,133.0,141.0,153,140
Albania,67.0,67.0,71,71
Algeria,171.0,186.0,222,220
Angola,130.0,143.0,170,181
Argentina,2206.0,2238.0,2272,2300
Armenia,53.0,55.0,57,59
Australia,834.0,941.0,818,790
Austria,146.0,146.0,148,146
Azerbaijan,112.0,117.0,115,119
Bahamas,8.0,6.0,9,8
Bangladesh,195.0,198.0,199,201
Belarus,177.0,193.0,181,160
Belgium,199.0,178.0,175,174
Benin,29.0,31.0,31,32
Bolivia (Plurinational State of),202.0,204.0,211,211
Bosnia and Herzegovina,35.0,37.0,34,35
Botswana,15.0,16.0,17,16
Brazil,7553.0,7694.0,7811,7863
Bulgaria,37.0,33.0,28,28
Burkina Faso,124.0,126.0,128,76
Cambodia,73.0,73.0,73,73
Cameroon,83.0,87.0,89,93
Canada,1017.0,1011.0,1063,1064
Central African Republic,85.0,88.0,90,55
Chad,95.0,97.0,98,98
Chile,371.0,339.0,359,420
"China, Hong Kong SAR",171.0,153.0,205,186
"China, Macao SAR",8.0,9.0,6,6
"China, mainland",6516.0,6443.0,6606,7089
"China, Taiwan Province of",122.0,121.0,109,122
Colombia,751.0,800.0,828,790
Congo,10.0,11.0,14,19
Costa Rica,83.0,84.0,74,74
Cï¿½te d'Ivoire,40.0,36.0,34,35
Croatia,40.0,39.0,54,53
Cuba,76.0,70.0,71,72
Cyprus,7.0,8.0,8,7
Czechia,101.0,97.0,87,87
Democratic People's Republic of Korea,22.0,22.0,22,22
Denmark,163.0,165.0,153,160
Djibouti,7.0,7.0,7,9
Dominican Republic,116.0,104.0,98,103
Ecuador,261.0,269.0,266,261
Egypt,1051.0,1045.0,1067,1057
El Salvador,57.0,46.0,46,38
Estonia,16.0,18.0,14,9
Ethiopia,419.0,407.0,337,340
Fiji,8.0,8.0,9,8
Finland,100.0,102.0,104,104
France,1639.0,1612.0,1606,1531
French Polynesia,9.0,9.0,9,9
Gabon,11.0,10.0,12,14
Georgia,32.0,29.0,25,26
Germany,1045.0,1108.0,1105,1089
Ghana,31.0,29.0,28,28
Greece,225.0,199.0,189,179
Guatemala,80.0,82.0,85,87
Guinea,62.0,66.0,70,74
Guinea-Bissau,6.0,7.0,7,7
Haiti,46.0,46.0,47,47
Honduras,59.0,59.0,53,58
Hungary,53.0,60.0,55,49
India,1764.0,1501.0,1511,1017
Indonesia,585.0,601.0,589,647
Iran (Islamic Republic of),460.0,435.0,340,277
Iraq,75.0,84.0,90,100
Ireland,103.0,104.0,103,103
Israel,197.0,209.0,197,223
Italy,1400.0,1308.0,1262,1135
Jamaica,12.0,15.0,13,11
Japan,1134.0,1141.0,1153,1164
Jordan,32.0,47.0,40,41
Kazakhstan,8.0,8.0,8,9
Kazakhstan,371.0,356.0,382,384
Kenya,461.0,458.0,411,423
Kuwait,28.0,27.0,28,44
Kyrgyzstan,74.0,82.0,79,83
Lao People's Democratic Republic,45.0,46.0,49,49
Latvia,11.0,10.0,10,10
Lebanon,86.0,77.0,67,73
Lesotho,11.0,12.0,12,12
Lithuania,12.0,11.0,11,14
Luxembourg,15.0,15.0,16,16
Madagascar,160.0,166.0,172,172
Malawi,32.0,34.0,36,38
Malaysia,159.0,169.0,175,194
Mali,139.0,143.0,100,152
Malta,7.0,8.0,8,8
Mauritania,24.0,24.0,25,25
Mauritius,7.0,8.0,8,7
Mexico,1922.0,1915.0,1843,1876
Mongolia,44.0,51.0,59,57
Montenegro,8.0,7.0,7,8
Morocco,198.0,210.0,210,265
Mozambique,28.0,28.0,27,27
Myanmar,256.0,261.0,265,263
Namibia,21.0,21.0,6,9
Nepal,212.0,215.0,216,219
Netherlands,315.0,250.0,257,296
New Zealand,86.0,208.0,82,101
Nicaragua,30.0,2.0,2,29
Niger,135.0,143.0,142,160
Nigeria,326.0,385.0,391,404
Norway,91.0,94.0,98,100
Oman,34.0,36.0,46,55
Pakistan,1464.0,1513.0,1557,1606
Panama,73.0,78.0,83,79
Paraguay,75.0,114.0,132,135
Peru,123.0,125.0,133,142
Philippines,427.0,415.0,410,400
Poland,106.0,93.0,92,89
Portugal,182.0,176.0,170,174
Republic of Korea,599.0,712.0,694,716
Republic of Moldova,9.0,7.0,7,5
Romania,161.0,142.0,114,104
Russian Federation,2464.0,2330.0,2444,2425
Rwanda,28.0,28.0,29,30
Saudi Arabia,172.0,175.0,186,186
Senegal,68.0,70.0,81,83
Serbia,92.0,79.0,77,67
Sierra Leone,9.0,11.0,12,12
Slovakia,28.0,25.0,27,28
Slovenia,41.0,41.0,39,38
South Africa,838.0,822.0,835,952
Spain,632.0,606.0,581,570
Sri Lanka,34.0,27.0,29,29
Suriname,6.0,6.0,6,5
Swaziland,19.0,17.0,17,19
Sweden,223.0,229.0,227,235
Switzerland,168.0,170.0,166,172
Tajikistan,29.0,30.0,32,36
Thailand,204.0,176.0,185,172
The former Yugoslav Republic of Macedonia,18.0,17.0,15,16
Togo,10.0,10.0,11,10
Trinidad and Tobago,8.0,6.0,8,8
Tunisia,60.0,60.0,60,61
Turkey,671.0,755.0,825,872
Turkmenistan,134.0,136.0,138,137
Uganda,180.0,186.0,191,194
Ukraine,415.0,388.0,375,405
United Arab Emirates,46.0,48.0,49,53
United Kingdom,1211.0,1176.0,1179,1148
United Republic of Tanzania,244.0,263.0,289,300
United States of America,12071.0,11602.0,11736,11598
Uruguay,104.0,107.0,87,99
Uzbekistan,666.0,765.0,764,816
Venezuela (Bolivarian Republic of),553.0,595.0,646,787
Viet Nam,479.0,645.0,679,682
Yemen,113.0,112.0,114,116
Zambia,75.0,68.0,69,69
Zimbabwe,100.0,102.0,103,104
