zone,dispo_int,import,dispo_alim,export,population,dependence,delta
Afghanistan,57.0,29.0,5.0,0.0,36296000,0.5087719298245614,29.0
Algérie,277.0,2.0,22.0,0.0,41389000,0.007220216606498195,2.0
Angola,319.0,277.0,35.0,0.0,29816000,0.8683385579937304,277.0
Argentine,1962.0,8.0,182.0,207.0,43937000,0.004077471967380225,-199.0
Australie,1171.0,16.0,192.0,42.0,24584000,0.013663535439795047,-26.0
Autriche,173.0,110.0,65.0,78.0,8819000,0.6358381502890174,32.0
Bangladesh,250.0,0.0,7.0,0.0,159685000,0.0,0.0
Bolivie (État plurinational de),429.0,1.0,155.0,1.0,11192000,0.002331002331002331,0.0
Brésil,9982.0,3.0,204.0,4223.0,207833000,0.00030054097375275494,-4220.0
Bulgarie,157.0,108.0,81.0,45.0,7102000,0.6878980891719745,63.0
Myanmar,1666.0,3.0,116.0,0.0,53382000,0.001800720288115246,3.0
Cameroun,82.0,0.0,11.0,0.0,24566000,0.0,0.0
Canada,1433.0,182.0,154.0,163.0,36732000,0.1270062805303559,19.0
Sri Lanka,192.0,0.0,26.0,2.0,21128000,0.0,-2.0
Tchad,7.0,1.0,2.0,0.0,15016000,0.14285714285714285,1.0
Chili,672.0,155.0,153.0,115.0,18470000,0.23065476190476192,40.0
"Chine, continentale",18161.0,452.0,59.0,576.0,1421021000,0.024888497329442212,-124.0
Colombie,1643.0,78.0,111.0,2.0,48909000,0.04747413268411443,76.0
Congo,110.0,104.0,72.0,0.0,5110000,0.9454545454545454,104.0
Cuba,342.0,312.0,82.0,0.0,11339000,0.9122807017543859,312.0
Azerbaïdjan,129.0,27.0,44.0,0.0,9845000,0.20930232558139536,27.0
Bénin,161.0,123.0,37.0,0.0,11175000,0.7639751552795031,123.0
Danemark,167.0,133.0,112.0,139.0,5732000,0.7964071856287425,-6.0
République dominicaine,375.0,42.0,123.0,6.0,10513000,0.112,36.0
Bélarus,265.0,21.0,95.0,152.0,9450000,0.07924528301886792,-131.0
Équateur,341.0,0.0,83.0,0.0,16785000,0.0,0.0
Égypte,1250.0,110.0,50.0,1.0,96442000,0.088,109.0
El Salvador,131.0,16.0,71.0,2.0,6388000,0.12213740458015267,14.0
Finlande,111.0,16.0,68.0,12.0,5511000,0.14414414414414414,4.0
France,1573.0,506.0,92.0,501.0,64842000,0.32167832167832167,5.0
Allemagne,1739.0,842.0,71.0,646.0,82658000,0.484186313973548,196.0
Ghana,211.0,151.0,16.0,0.0,29121000,0.7156398104265402,151.0
Grèce,178.0,79.0,53.0,29.0,10569000,0.4438202247191011,50.0
Guatemala,357.0,129.0,71.0,7.0,16914000,0.36134453781512604,122.0
Guinée,50.0,37.0,14.0,0.0,12067000,0.74,37.0
Haïti,98.0,89.0,31.0,0.0,10982000,0.9081632653061225,89.0
Honduras,205.0,12.0,93.0,1.0,9429000,0.05853658536585366,11.0
Chine - RAS de Hong-Kong,280.0,907.0,210.0,663.0,7306000,3.2392857142857143,244.0
Hongrie,266.0,58.0,104.0,210.0,9729000,0.21804511278195488,-152.0
Inde,3661.0,0.0,7.0,4.0,1338676000,0.0,-4.0
Indonésie,2323.0,1.0,25.0,0.0,264650000,0.00043047783039173483,1.0
Iran (République islamique d'),2220.0,6.0,96.0,45.0,80673000,0.002702702702702703,-39.0
Iraq,566.0,470.0,52.0,0.0,37552000,0.8303886925795053,470.0
Israël,636.0,0.0,234.0,3.0,8243000,0.0,-3.0
Italie,1173.0,97.0,65.0,183.0,60673000,0.08269394714407502,-86.0
Côte d'Ivoire,65.0,7.0,8.0,0.0,24437000,0.1076923076923077,7.0
Kazakhstan,331.0,174.0,61.0,6.0,18080000,0.525679758308157,168.0
Japon,2415.0,1069.0,67.0,10.0,127502000,0.4426501035196687,1059.0
Jordanie,275.0,64.0,98.0,10.0,9785000,0.23272727272727273,54.0
Kirghizistan,32.0,25.0,11.0,0.0,6189000,0.78125,25.0
Kenya,35.0,0.0,2.0,0.0,50221000,0.0,0.0
Cambodge,38.0,10.0,11.0,0.0,16009000,0.2631578947368421,10.0
République populaire démocratique de Corée,43.0,0.0,8.0,0.0,25429000,0.0,0.0
République de Corée,854.0,137.0,62.0,6.0,51096000,0.16042154566744732,131.0
Liban,73.0,13.0,38.0,4.0,6819000,0.1780821917808219,9.0
Madagascar,82.0,0.0,14.0,0.0,25570000,0.0,0.0
Malawi,98.0,0.0,17.0,0.0,17670000,0.0,0.0
Malaisie,1621.0,68.0,142.0,44.0,31104000,0.041949413942011106,24.0
Mali,52.0,1.0,9.0,0.0,18512000,0.019230769230769232,1.0
Mexique,4219.0,972.0,123.0,9.0,124777000,0.23038634747570513,963.0
Maroc,746.0,3.0,70.0,1.0,35581000,0.004021447721179625,2.0
Mozambique,116.0,24.0,13.0,0.0,28649000,0.20689655172413793,24.0
Népal,58.0,0.0,7.0,0.0,27632000,0.0,0.0
Pays-Bas,372.0,608.0,70.0,1418.0,17021000,1.6344086021505377,-810.0
Nicaragua,138.0,6.0,93.0,0.0,6384000,0.043478260869565216,6.0
Niger,21.0,3.0,3.0,0.0,21602000,0.14285714285714285,3.0
Nigéria,202.0,0.0,2.0,0.0,190873000,0.0,0.0
Norvège,102.0,2.0,66.0,0.0,5296000,0.0196078431372549,2.0
Pakistan,1282.0,2.0,20.0,4.0,207906000,0.0015600624024961,-2.0
Tchéquie,249.0,116.0,82.0,27.0,10641000,0.46586345381526106,89.0
Paraguay,41.0,1.0,22.0,4.0,6867000,0.024390243902439025,-3.0
Pérou,1523.0,60.0,62.0,1.0,31444000,0.03939592908732764,59.0
Philippines,1521.0,249.0,48.0,2.0,105172000,0.16370808678500987,247.0
Pologne,1156.0,55.0,107.0,1025.0,37953000,0.04757785467128028,-970.0
Portugal,325.0,82.0,109.0,44.0,10288000,0.2523076923076923,38.0
Zimbabwe,76.0,6.0,16.0,0.0,14236000,0.07894736842105263,6.0
Roumanie,381.0,146.0,66.0,69.0,19653000,0.38320209973753283,77.0
Rwanda,19.0,0.0,5.0,0.0,11980000,0.0,0.0
Fédération de Russie,4556.0,226.0,104.0,115.0,145530000,0.04960491659350307,111.0
Arabie saoudite,1435.0,722.0,151.0,10.0,33101000,0.5031358885017422,712.0
Sénégal,77.0,0.0,16.0,0.0,15419000,0.0,0.0
Sierra Leone,30.0,14.0,10.0,0.0,7488000,0.4666666666666667,14.0
Slovaquie,74.0,63.0,48.0,35.0,5447000,0.8513513513513513,28.0
Afrique du Sud,2118.0,514.0,143.0,63.0,57009000,0.24268177525967893,451.0
Espagne,1497.0,205.0,105.0,212.0,46647000,0.13694054776219106,-7.0
Tadjikistan,40.0,38.0,18.0,0.0,8880000,0.95,38.0
Suède,187.0,84.0,61.0,23.0,9904000,0.44919786096256686,61.0
Suisse,133.0,51.0,55.0,4.0,8455000,0.38345864661654133,47.0
Turkménistan,27.0,9.0,15.0,0.0,5757000,0.3333333333333333,9.0
"Chine, Taiwan Province de",785.0,161.0,126.0,8.0,23674000,0.2050955414012739,153.0
République-Unie de Tanzanie,108.0,2.0,6.0,0.0,54660000,0.018518518518518517,2.0
Thaïlande,881.0,2.0,47.0,796.0,69209000,0.0022701475595913734,-794.0
Togo,54.0,16.0,24.0,0.0,7698000,0.2962962962962963,16.0
Tunisie,195.0,0.0,57.0,4.0,11433000,0.0,-4.0
Turquie,1674.0,3.0,71.0,429.0,81116000,0.0017921146953405018,-426.0
Émirats arabes unis,412.0,433.0,147.0,94.0,9487000,1.0509708737864079,339.0
Ouganda,66.0,0.0,5.0,0.0,41166000,0.0,0.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2234.0,779.0,120.0,359.0,66727000,0.3487018800358102,420.0
Ukraine,1009.0,121.0,78.0,273.0,44487000,0.1199207135777998,-152.0
États-Unis d'Amérique,18266.0,123.0,219.0,3692.0,325084000,0.006733822402277456,-3569.0
Burkina Faso,46.0,0.0,8.0,0.0,19193000,0.0,0.0
Venezuela (République bolivarienne du),626.0,25.0,71.0,0.0,29402000,0.039936102236421724,25.0
Viet Nam,1206.0,291.0,48.0,1.0,94600000,0.24129353233830847,290.0
Éthiopie,14.0,1.0,0.0,0.0,106399000,0.07142857142857142,1.0
Yémen,246.0,78.0,30.0,0.0,27834000,0.3170731707317073,78.0
Zambie,60.0,12.0,11.0,1.0,16853000,0.2,11.0
Belgique,152.0,338.0,44.0,656.0,11419000,2.223684210526316,-318.0
Serbie,90.0,12.0,35.0,7.0,8829000,0.13333333333333333,5.0
Soudan,69.0,2.0,5.0,0.0,40813000,0.028985507246376812,2.0
